target,mhc_class,closest_ref,closest_mean_id,tcra_id,tcrb_id,pep_id,mhc_id,tcr_concat_closest,max_tcra,max_tcrb,max_tcr_concat,rule2_hits,rule2_violation,rule3_ref,rule3_min_id,rule3_violation,pp_same_pmhc,pp_same_mhc_other_pep,pp_similar_tcr_other_pmhc,best_mhc_id,deposit_date,release_date_rcsb,temporal_violation,tm_best,tm_best_ref,tm_best_nchain,tm_best_map_ok,tm_full,tm_full_ref,tm_violation,rule3_strong,partial_prior,cluster,cluster_size,recommendation,rules_triggered,n_binary_candidates,binary_pep_identity,binary_pep_ref,binary_pmhc_prior
9NV6,Class I,5SWS,71.55963302752293,43.11926605504587,43.11926605504587,100.0,100.0,43.11926605504587,91.15044247787613,66.07142857142857,59.45945945945946,,False,5SWS,43.11926605504587,True,True,True,False,100.0,2025-03-20,2026-07-29,False,0.87353,1NAM,3,False,0.86857,5M01,False,False,"same/similar pMHC; binary pMHC, no ternary; same MHC, other peptide",C05,4,Retain in standard benchmark; exclude from strict subset,rule 3 all-chain>40% vs 5SWS (min 43%),70,100.0,1HOC,True
9NVA,Class I,5SWZ,71.25955819881054,51.401869158878505,33.63636363636363,100.0,100.0,42.009132420091326,67.9245283018868,52.21238938053097,50.0,,False,,,False,True,True,False,100.0,2025-03-20,2026-07-29,False,0.89885,6VRM,3,False,0.89443,5M00,False,False,"same/similar pMHC; binary pMHC, no ternary; same MHC, other peptide",C62,1,Retain—temporally blind with partial prior,,70,100.0,1HOC,True
9NVE,Class I,5SWS,71.55963302752293,43.11926605504587,43.11926605504587,100.0,100.0,43.11926605504587,91.15044247787613,66.07142857142857,59.45945945945946,,False,5SWS,43.11926605504587,True,True,True,False,100.0,2025-03-20,2026-07-29,False,0.87572,1NAM,3,False,0.8664,1FO0,False,False,"same/similar pMHC; binary pMHC, no ternary; same MHC, other peptide",C05,4,Retain in standard benchmark; exclude from strict subset,rule 3 all-chain>40% vs 5SWS (min 43%),70,100.0,1HOC,True
9NW2,Class I,5SWZ,71.49499582985823,57.79816513761468,28.181818181818183,100.0,100.0,42.922374429223744,65.09433962264151,92.6605504587156,73.42342342342343,,False,,,False,True,True,False,100.0,2025-03-21,2026-07-29,False,0.8983,2OL3,3,False,0.89272,1FO0,False,False,"same/similar pMHC; binary pMHC, no ternary; same MHC, other peptide",C63,1,Retain—temporally blind with partial prior,,70,100.0,1HOC,True
9PBG,Class I,5EU6,62.09372732853396,90.9090909090909,51.81818181818182,22.22222222222222,83.42541436464089,71.36363636363636,90.9090909090909,91.89189189189187,74.88584474885845,,False,,,False,False,True,False,99.4475138121547,2025-06-26,2026-03-18,False,0.91261,6VQO,3,False,0.88276,2YPL,False,False,"same MHC, other peptide",C01,11,Combine with another target as one cluster,,50,33.333333333333336,6PYJ,False
9PBH,Class I,5BRZ,63.41205659924297,87.27272727272727,62.38532110091743,22.22222222222222,81.76795580110497,74.88584474885845,90.9090909090909,91.89189189189187,74.88584474885845,,False,,,False,False,True,False,99.4475138121547,2025-06-26,2026-03-18,False,0.90989,6VQO,3,False,0.86905,3QDM,False,False,"same MHC, other peptide",C01,11,Combine with another target as one cluster,,50,44.44444444444444,6VPZ,False
9RU5,Class I,5BRZ,61.90042628116022,33.63636363636363,91.74311926605505,22.22222222222222,100.0,62.55707762557078,91.96428571428572,92.7927927927928,63.67713004484305,,False,,,False,False,True,False,100.0,2025-07-03,2025-08-13,False,0.85023,2J8U,4,True,0.85023,2J8U,False,False,"same MHC, other peptide",C17,3,Combine with another target as one cluster,,5,33.333333333333336,6AT9,False
9RUP,Class I,5BRZ,61.90042628116022,33.63636363636363,91.74311926605505,22.22222222222222,100.0,62.55707762557078,91.96428571428572,92.7927927927928,63.67713004484305,,False,,,False,False,True,False,100.0,2025-07-04,2025-08-13,False,0.52037,6VM7,4,True,0.52037,6VM7,False,False,"same MHC, other peptide",C17,3,Combine with another target as one cluster,,5,33.333333333333336,6AT9,False
9RXM,Class I,5BRZ,62.22919944973923,34.95145631067961,91.74311926605505,22.22222222222222,100.0,63.55140186915888,59.40594059405941,92.7927927927928,64.48598130841121,,False,,,False,False,True,False,100.0,2025-07-11,2025-08-13,False,0.89935,5NMG,4,True,0.89935,5NMG,False,False,"same MHC, other peptide",C17,3,Combine with another target as one cluster,,5,33.333333333333336,6AT9,False
9WBD,Class I,3KPR,58.19074973054667,31.77570093457944,94.4954128440367,22.22222222222222,84.26966292134831,63.42592592592592,58.87850467289719,94.4954128440367,63.42592592592592,,False,,,False,False,True,False,100.0,2025-08-13,2025-11-19,False,0.85891,5NME,3,False,0.83481,4MVB,False,False,"binary pMHC, no ternary; same MHC, other peptide",C64,1,Retain—temporally blind with partial prior,,21,100.0,7LG0,True
9WC2,Class I,6RSY,66.24329236628009,27.358490566037737,37.61467889908257,100.0,100.0,32.55813953488372,90.56603773584904,96.3302752293578,74.17840375586854,Vb>=95:2VLR(96.3),True,5WLG,40.59405940594059,True,True,True,False,100.0,2025-08-15,2026-07-15,False,0.94131,5NMG,4,True,0.94131,5NMG,True,False,"same/similar pMHC; binary pMHC, no ternary; same MHC, other peptide",C27,2,Exclude—high TCR redundancy,rule 2 Vb>=95:2VLR(96.3); rule 3 all-chain>40% vs 5WLG (min 41%); rule 5 TM 0.94 vs 5NMG,226,100.0,3HPJ,True
9WC3,Class I,7N6E,65.20745118795577,39.42307692307692,88.07339449541284,33.333333333333336,100.0,64.31924882629107,90.56603773584904,96.3302752293578,74.17840375586854,Vb>=95:2VLR(96.3),True,3PWP,44.44444444444444,True,False,True,False,100.0,2025-08-15,2026-07-15,False,0.92902,5NMG,4,True,0.92902,5NMG,True,False,"binary pMHC, no ternary; same MHC, other peptide",C27,2,Exclude—high TCR redundancy,rule 2 Vb>=95:2VLR(96.3); rule 3 all-chain>40% vs 3PWP (min 44%); rule 5 TM 0.93 vs 5NMG,226,100.0,3MYJ,True
9YW4,Class I,2GJ6,62.24727968512499,44.23076923076923,84.68468468468468,33.333333333333336,86.74033149171271,65.11627906976744,90.3846153846154,86.48648648648648,70.4225352112676,,False,,,False,False,True,False,100.0,2025-10-23,2026-06-17,False,0.92522,5YXU,4,True,0.92522,5YXU,True,False,"binary pMHC, no ternary; same MHC, other peptide",C65,1,Retain in standard benchmark; exclude from strict subset,rule 5 TM 0.93 vs 5YXU,5,100.0,6MPP,True
9ZCL,Class I,4JRX,71.44063455979344,90.990990990991,95.32710280373831,20.0,79.44444444444444,93.11926605504588,90.990990990991,95.32710280373831,93.11926605504588,concat>=90:4JRX(93.1); Vb>=95:4JRX(95.3),True,,,False,False,True,True,100.0,2025-11-23,2026-06-17,False,0.9195,5TEZ,3,False,0.89739,7N1E,False,False,"binary pMHC, no ternary; similar TCR, other pMHC; same MHC, other peptide",C66,1,Exclude—high TCR redundancy,rule 2 concat>=90:4JRX(93.1); Vb>=95:4JRX(95.3),5,100.0,6MPP,True
